zipcode,rate
64148,245.20
67118,212.35
40813,
18229,234.65
51012,276.39
79168,243.68
54923,243.77
67651,249.44
49448,221.63
27702,285.30
47387,326.98
50014,287.30
33608,268.49
06239,
54919,251.71
46706,272.81
14846,
48872,256.28
43343,245.96
77052,241.72
07734,
95327,
12961,
26716,278.90
48435,248.99
53181,306.56
52654,242.39
58703,297.93
91945,
52146,292.26
56097,
21777,
42330,
38849,285.69
77586,241.72
39745,265.73
03299,240.45
63359,269.11
60094,209.95
15935,184.97
39845,325.64
48418,248.99
28411,307.51
37333,219.29
75939,234.50
07184,
86313,292.90
61232,222.38
20047,
47452,195.84
