zipcode,rate
64148,245.20
67118,218.83
40813,
18229,234.65
51012,276.39
79168,243.68
54923,
67651,249.44
49448,225.81
27702,285.30
47387,326.98
50014,287.30
33608,268.49
06239,
54919,251.71
46706,
14846,
48872,
43343,
77052,241.72
07734,
95327,
12961,
26716,278.90
48435,
53181,306.56
52654,242.39
58703,297.93
91945,
52146,292.26
56097,
21777,
42330,
38849,285.69
77586,241.72
39745,265.73
03299,240.45
63359,
60094,209.95
15935,184.97
39845,374.02
48418,
28411,307.51
37333,219.29
75939,251.01
07184,
86313,292.90
61232,222.38
20047,
47452,
